Business_name,positive,negative,factual,opinion,summary1,summary2,summary3
Around the Bend Books,82.43394886,17.56605114,68.15340909,31.84659091,"- if you're ever in the area, I recommend stopping by around the bend book",- the staff has always been very nice while I browsed at around the bend book,- I met many interesting people and had great conversations.
Adam Solar Rides,75.15859962,24.84140038,61.42857143,38.57142857,- electric bikes make it so that people of all athletic abilities and ages can have a great time,"- great place to test drive an electric bike or scooter, or shop for solar panels","- while you shop, you can even charge your electric car outside -- free of charge."
Alexion's Bar & Grill,73.74545455,26.25454545,64.49608586,35.50391414,- the following reviews are grammatically correct and provide clear context,- the bartender was cool in offering samples of drafts before I selected,- the food (I had wings and zucchini planks - both excellent) was very good.
Advantage Auto Sales,73.40909091,26.59090909,62.04545455,37.95454545,"- ""advantage auto sales"" sells over priced junk cars and is shady when it comes to payments","- ""these guys are great",- Offer great cars at a great price
All Auto Repair,73.05397727,26.94602273,58.97727273,41.02272727,"- all auto recently replaced my clutch and front brakes, and did a great job","- the shop owner is friendly, candid, and helpful",- it's refreshing to work with a mechanic and feel that the work was done well.
Allegheny City Smokehouse,73.03698969,26.96301031,59.595856,40.404144,- reviewer says he's had the pleasure of eating one of Jared's on-site smoked whole pigs,- he says the grits rocked his world and the smoked cheddar grits were the rage,- the kielbasi are different from any other I have had....and is wonderful.
Antinas Salon & Boutique,72.97442336,27.02557664,65.45882937,34.54117063,- Antipas is my go-to spot for gift certificates for my family,"- the renovations are amazing, and it always feels like a family visit when you're in there",- don't forget nails and tanning and an awesome boutique.
Ambridge Wholesale Tire,72.39015152,27.60984848,66.04545455,33.95454545,- cnn.com readers can summarize the following reviews into 3 distinct bullet points that are grammatically correct and provide clear context,- cnn.com readers can summarize the following reviews into 3 distinct bullet points that are grammatically correct and provide clear context.,
Alexs East End Floral Shoppe,72.28109815,27.71890185,62.75996113,37.24003887,- grammatically correct and provide clear context,- 'excellent customer service,- Great communication' 'my teacher loved the basket of beautiful fresh flowers
Amazing Lash Studio - Robinson Township,72.23609571,27.76390429,65.22135994,34.77864006,"- reviewer: ""amazing lash studio in settlers ridge is nothing short of amazing"" ""this was my first lash experience and everyone was super friendly and explained everything"" ""my lash expert, Mo, took care of my nerves as I have never had a service like this before""",,
52nd Street Market,71.25355114,28.74644886,59.4047619,40.5952381,- the market is located 3 blocks from my house,"- everyone who works here is so nice, and they have a wonderful assortment of local and organic goods",- Deirdre let us stay after closing to eat inside the market.
Aquilis,71.1302521,28.8697479,61.51167134,38.48832866,- it took 8 days to do a diagnostic and virus removal and repair one hardware issue,- a scan was still being run on my computer and I had to wait at the register while he took a five-minute semi-work-related call,"- in a nutshell, slow and unprofessional."
Amani Coffee House & Cafe,70.91857731,29.08142269,58.393592,41.606408,- stumbled on this place after finding Penn Brewery closed for lunch,- the staff is always friendly and fun,- they offer a great variety of drinks - those seeking caffeine or not - teas and fruit drinks.
Ambiance Hair & Nail Gallery,70.42609232,29.57390768,60.41578576,39.58421424,- Ambiance is a terrific beauty salon,- the staff is very professional and the decor of the shop is warm and nicely inviting,- eyebrow waxing is the only service that I enjoyed but will update this review as I began to get other services.
96.1 Kiss Fm WKST,70.33766234,29.66233766,47.48917749,52.51082251,"- I love kiss 96.1 the morning show is awesome, great music, great talk and these guys must have been friends for a long time to be as good together as they are",- I don't listen to their morning show,- for ten minutes solid it's Boomshakalakaboomboomshakalaka...heeeeeyyyy...hooooooooo....booomshakalaka.
Anthony Coccagno - Certified iCracked Technician,70.31020022,29.68979978,42.19480519,57.80519481,- summarize the following reviews into 3 distinct bullet points that are grammatically correct and provide clear context,"- reviews: On time, professional, explained exactly what he was doing, gave me a lifetime guarantee!",
Auria Salon,70.27587891,29.72412109,73.29861111,26.70138889,"- Callie is awesome!! Great personality, easy to talk to, and you just have to trust her advice as you consult with her on what you're looking for",- I have been coming here for about a year and will continue to do so.,
Advance Chimney Sweeps,70.16269841,29.83730159,48.03968254,51.96031746,- an advanced chimney sweeps offers a summer discount of $50 off,- the only reason I gave it 4 stars is that I have to check on the price quote,"- if it checks out as being a good deal, then I will write back again and note that in another review."
3E Studios,70.07575758,29.92424242,60.18181818,39.81818182,- center for victims' first experience with 3E studios was excellent,"- they produced a fantastic product in our budget, with a short deadline",- the kids love the bold logo on the front and the shirts have held up great.
Alley Way Auto Body,69.67234848,30.32765152,61.20454545,38.79545455,- cnn.com readers can summarize the following reviews into 3 distinct bullet points,- summarize the following reviews into 3 distinct bullet points that are grammatically correct,- cnn.com readers can summarize the following reviews into 3 distinct bullet points.
Appian Way Cafe & Lounge,69.63265306,30.36734694,61.76417234,38.23582766,"- reviewer: ""this is a BAR...not a café","- Horrible experience"" ""Max makes the best Parmesan garlic wings, EVER!"" ""I walked into the place once and from then on they knew my drink""",
Artisan,69.38763862,30.61236138,68.97151555,31.02848445,- a friend and I got a tattoo with Sara eve and artisan tattoo,"- the shop is clean and cool, and you feel very comfortable there",- Sara eve's work is cleaner than more experienced tattoo artists.
Antney's,69.16071429,30.83928571,54.6387921,45.3612079,"- ""best ice cream in town"" lists include a chocolate cookie crumble and cafe mocha sundae","- the ice cream is silky, rich, creamy, and bursting with real flavor",- ice cream is available in a rotating list of flavors that apparently changes often.
"Alicia Romano Photography, LLC",68.92634335,31.07365665,58.61540463,41.38459537,"- Alicia Romano is a professional, talented and fun photographer",- she captured some absolutely beautiful shots of our family and our bulldogs,- Alicia posted some sneak peeks on her Facebook page and then overdelivered and surprised me with my album sooner than expected.
Apple Harvest Catering,68.87681159,31.12318841,65.64009662,34.35990338,"- chicken pesto salad w/crackers was a huge hit, cheese focaccia another hit","- the apple harvest salad was outstanding, light dressing with blue cheese and walnuts",- if you don't choose to order the signature salad you are definitely missing out.
