company_name,positive,negative,factual,opinion,summary1,summary2,summary3,stars
#1 Cochran Buick GMC of Robinson,57.69007789,42.30992211,52.25240893,47.74759107,  this place SUCKS," all they care about is the sale, not YOU!  I was first on the list for a test drive on a car that was a solid deal  they asked me to have a seat in the waiting room because someone is buying the car",,1
#1 Cochran Hyundai of South Hills,55.8334875,44.1665125,44.97995831,55.02004169, 's issues with Cochran Hyundai revolve around the deceptive nature of her car buying experience," Cochran Hyundai of south hills gave me a quote of 23,306"," when it came time to purchase they pulled out a price of 24,600.",1.5
#1 Cochran Kia - Robinson,62.57852919,37.42147081,46.20103474,53.79896526,  says he was refused an appointment for his new Sorrento's 1st oil change, he said he would be cared for within 20 minutes if he showed up on his day off,  says he's never left with an issue unresolved.,3.5
#1 Cochran Nissan,54.85395081,45.14604919,51.010918,48.989082, avoid #1 Cochran Nissan at all costs," don't sell your car for less than you'd planned, since it's not a 2016"," don't sell your car for less than you'd planned, since it's not a 2016.",3.5
#1 Cochran Volkswagen of South Hills,53.4263599,46.5736401,43.27482042,56.72517958, a 2014 beetle made a rattling sound during acceleration, a service advisor told me they had a loaner car and I took the shuttle, a service manager told me they still haven't diagnosed the car.,3.5
1-800-GOT-JUNK? Pittsburgh City,58.43863636,41.56136364,51.33143338,48.66856662, 1800 got junk is a great garbage hauler in Philadelphia, the staff at 1800 got junk was polite and efficient, they removed an armor from a bedroom and dragged it across the floor.,4
1-800-Haul-Out,56.82084068,43.17915932,47.16453557,52.83546443,  bought a voucher for $99 that gave him 1/4 of a truck," as they moved down the pile they ran into a bee nest, and one of them was allergic", two younger guys showed up on time and moved an organ for me.,4
105.9 The X,54.55988456,45.44011544,51.5464917,48.4535083, 1059 The X has struggled to keep a hard rock format, the station has incorporated a TON of alternative rock and stoner music Double M The Super Genius aka MALE CHAUVINIST PIG is a DJ.,,4
10th Street Tattoo and Body Piercing,59.75685104,40.24314896,48.33974954,51.66025046, I went to 10th street to get a tattoo for my cousin's family reunion, the shop was open until 2 am and there was a lot of quirky artwork and sketches, I definitely would go back to took and recommend him to anyone looking to get a tattoo.,2.5
1311,59.06856261,40.93143739,48.16049383,51.83950617, a great place to belly up to the bar for cheap drinks and to catch a game, this is a smoking establishment that has one long bar that runs the length of the business, this is a smoking establishment that has one long bar that runs the length of the business.,4
15?Fahrenheit Rolled Ice Cream,58.2827861,41.7172139,58.5894728,41.4105272, the entire system from placing your order to receive the final product is disorganized," the only thing enjoyable was the novelty, which fell flat as soon as you tasted the product"," the ice cream was good, though a little difficult to eat sometimes.",3.5
17th Street Cafe,58.17507871,41.82492129,54.4229306,45.5770694,  this place isn't trying to be anything that it isn't steak wasn't bad," Went back for lunch and had very boring salmon and pasta service was attentive, menus were nice (on iPads no less), and noise was minimal.",,3.5
1889 Cafe,57.42535965,42.57464035,57.45254292,42.54745708," review I ruined the salad by getting calamari on it I was expecting fresh calamari, but apparently it just came out of the freezer and tasted super fishy this meal took like 45 minutes to make and everything was terrible",,,4
1902 Tavern,57.5401446,42.4598554,50.03992507,49.96007493, the 1902 tavern received the first liquor license in western Pennsylvania in 1902," the best day to go is on any Thursday on Market Street Thursdays, from June to August", the food offerings seemed to be just about as old as the subway tiles and woodwork.,4.5
1947 Tavern,61.32589286,38.67410714,60.71626984,39.28373016," this review is for my neighborhood bourbon bar, not my neighborhood dinner spot", the bartenders get some heat because they take a while to make a drink," if you want to drink bourbon in Pittsburgh, there is only one place to do so.",3.5
20/20 Opticians,60.26399305,39.73600695,51.67689978,48.32310022, 20/20 opticians helped me find the ideal frames and created the prescription lenses in house, I've been in desperate need of contacts and my glasses needed upgraded as well 20/20 is one of the best opticians in the area.,,4
21st Century Sound & Security,63.4432398,36.5567602,39.42120181,60.57879819," I got a car starter installed in December, but the lights came on the way home"," two days later, when I hit the gas, nothing happens"," I take the car back to Jeff to have the starter reinstalled, and he paid the mechanic bill.",3.5
21st Street Coffee And Tea,60.61629605,39.38370395,54.18938766,45.81061234,"  service is courteous, but not outgoing; coffee is excellent","  this is a terrific little place that takes its beverages seriously, but not too  this is a terrific little place that takes its beverages seriously, but not too",,4.5
232 Creative,65.27272727,34.72727273,59.71969697,40.28030303, 232 Creative has exceeded all of our expectations as an owner of a small family business," they are reliable, flexible, creative and affordable", 232 Creative is now one of our most valuable partners as we continue to grow Grist house craft brewery.,3.5
26th Street Market and Cafe,60.68925866,39.31074134,54.17128878,45.82871122,  the inconsistency is borderline schizophrenic & that really bums me out the chicken & tuna salad are fantastic the menu variety and quality paired with the prices is nearly unbeatable,,,4.5
3 Dogs & A Cat,51.91388397,48.08611603,50.57102948,49.42897052, review every time I pick up my dog the cut isn't what I asked for," my dog's inner ear hairs have never been plucked, and her mild tear stains never touched/washed", a perfect groomer will always pluck the ears when needed on certain breeds.,3
3 Guys Optical,63.04157066,36.95842934,51.25617393,48.74382607," 3 guys optical in Oakland, California, offers free eye exam and contact sense fitting"," eyeglasses are my favorite accessory, but for me, it's glasses"," eye doctor was very friendly and professional, and I got my trial contacts right away.",3.5
3 Lakes Golf Course,52.54139957,47.45860043,49.22008547,50.77991453, the greens and tee boxes were in the worst shape that I have ever seen any course, the only traps that were even maintained with a Sandro were the ones closest to the clubhouse," the greens were in great shape, but almost every trap had 6 inches of standing water.",3
3 Rivers Locksmith,53.84242424,46.15757576,64.22727273,35.77272727, 3 Rivers is a great company to use if you need a lock or are locked out of your house, 3 Rivers was able to get a broken key out of my car and handout a new key in minutes, 3 Rivers was able to get a broken key out of my car and handout a new key in minutes.,2.5
31st Street Bridge,59.83108108,40.16891892,52.53753754,47.46246246, the 31st street bridge is one of the great bridges in the Pittsburgh area," after a renovation a few years ago, this is still in perfect shape", a nice wide sidewalk on the downstream side of the bridge offers stunning views of the river and downtown.,4
31st Street Pub,56.54110222,43.45889778,55.73186918,44.26813082," the 31st street pub was packed, but not so packed you were squeezed up on everyone", the bar is decorated with all kinds of cool stuff to check out, the ambiance in here is punk rock dive bar through and through.,3.5
3E Studios,70.07575758,29.92424242,60.18181818,39.81818182, center for victims' first experience with 3E studios was excellent," they produced a fantastic product in our budget, with a short deadline", the kids love the bold logo on the front and the shirts have held up great.,4.5
4 Wood Grille,58.01741998,41.98258002,49.34883307,50.65116693, yelp review the way this place is set up is schizophrenic, I was schizophrenic," I've never been disappointed with the food here the food almost reached average for a comparable place,  says.",4.5
412 Detailing,55.33076735,44.66923265,55.83589932,44.16410068, I recently took my wife's neglected 2008 Jeep Commander in for a sprucing up, 412 detailing did a great job at making a very neglected SUV look great again," I love my car and try and take perfect care of it, but have terrible depth perception.",4
412 Motoring,51.93229167,48.06770833,44.82291667,55.17708333,  had a completely opposite experience than the other ," despite all the setbacks, the gentleman that waited on me that day was so incredibly professional", mark is great,5
4121 Main,62.65489164,37.34510836,60.14315367,39.85684633," 4121 Main is one of my absolute favorite caf?, if just for the coffee itself"," the owners are also florists, and that showsbeautiful seasonal arrangements and decorations", the only downfall is that there is no free WiFi.,3
5 Fools,58.41666667,41.58333333,69,31," this is fullon smoking bar, so be prepared if you are a nonsmoker", food and drink are exceptional, Several electronic dart boards to challenge your skills,3
